ticker,date,sector,revenue_growth,eps_growth,operating_profit_growth,fcf_growth,ebitda_growth,roe,roce,net_margin,operating_margin,gross_margin,debt_to_equity,interest_coverage,current_ratio,cash_position,dividend_yield,dividend_growth,buyback_yield,promoter_holding_change,pe,pb,ev_ebitda,peg,price_sales,net_profit,operating_cash_flow,receivables,revenue,shares_outstanding,total_debt,auditor,promoter_pledge_pct,insider_net_buy,related_party_txn_flag,fwd_return,bench_fwd_return
ABBOTINDIA.NS,2026-03-31,Healthcare,0.08111840103601882,,0.11912743406457973,0.2633617963314358,0.10660954836613913,32.50855118878804,36.139102472260696,22.3987415302242,26.2102308397255,46.7052481941969,0.03602495920773995,72.67386954781912,2.553681843732434,4423300000.0,2.0,,,,36.046703,11.721714,28.345,,8.076149,15520200000.0,13192400000.0,3617300000.0,69290500000.0,21249302.0,1719900000.0,,,,,,
ABBOTINDIA.NS,2025-03-31,Healthcare,0.09610770301632066,,0.1545740427166783,-0.2090764423116564,0.15799620305988704,33.413415541617944,35.981304266848774,22.06907312202086,25.320050240671538,45.440815084683614,0.04645949234021946,141.97725284339458,3.3862591405567124,5605900000.0,,,,,,,,,,14144400000.0,10118400000.0,3802300000.0,64091500000.0,21249302.0,1966700000.0,,,,,,
ADANIENSOL.NS,2026-03-31,Utilities,0.15387858722924122,,0.09244963599921231,-1.379801669742197,0.38924507472826086,8.976645007735709,9.247390831522559,8.390879852426034,26.307860673765738,41.064595592411465,1.9339829963889545,2.0981060717112787,1.154048741832985,17345700000.0,,,,,79.69924,7.0109134,25.063,,6.4618726,22825400000.0,109966800000.0,36203400000.0,272026300000.0,1201282642.0,491764300000.0,,,,,,
ADANIENSOL.NS,2025-03-31,Utilities,0.4414512739521407,,0.47871812119926144,-1.0552585290230256,-0.022451533805011366,4.803155671962371,10.229659470978063,4.4961707235858395,27.787163917632913,44.1501678688608,1.8092091788183902,2.0894592637719804,1.369237947812486,21903800000.0,,,,,,,,,,10599700000.0,90445100000.0,23826600000.0,235749500000.0,1201282642.0,399259900000.0,,,,,,
ADANIENT.NS,2026-03-31,Energy,0.026158138872275284,,-0.19202458276238163,-7.871598236245596,0.33074620217829803,11.540760411215437,4.162928164011602,9.314598159993185,8.41528949399314,26.13115459101108,1.3175228712174525,1.3198621597989022,1.038426473271688,62666700000.0,0.04,,,,39.866882,4.6882663,36.003,,4.008002,93394700000.0,23569100000.0,125426100000.0,1002670200000.0,1301693464.0,1066217900000.0,,,,,,
ADANIENT.NS,2025-03-31,Energy,0.014482825569751282,,0.1586864117645101,-3.459811155535342,0.675235228280104,14.109401424693777,6.927313059514346,7.2652968322528,10.687723439347922,33.528254932808025,1.81803582583525,2.136649889516327,0.864109287795345,31057800000.0,,,,,,,,,,70990000000.0,45131000000.0,96164700000.0,977110800000.0,1301693464.0,914726000000.0,,,,,,
ADANIGREEN.NS,2026-03-31,Utilities,0.11577803928668416,,0.16716091774621508,-2.7820698894719214,0.1762303664921466,8.274480340596044,6.037217938885076,13.402563686516308,60.668505597923094,89.91562550705825,5.080891560230403,1.2761092150170648,0.5664788453934362,17350000000.0,,,,,153.4265,12.6556225,32.791,,18.789192,16520000000.0,101350000000.0,13710000000.0,123260000000.0,1647176155.0,1014400000000.0,,,,,,
ADANIGREEN.NS,2025-03-31,Utilities,0.19815618221258136,,0.1768919911829537,-3.0509529366005443,0.2301945124307613,11.89750350168905,6.779176806687123,13.071422105549019,57.99764641984248,83.36199873268761,6.545851528384279,1.324581352077734,0.5081714827096163,22120000000.0,,,,,,,,,,14440000000.0,89570000000.0,8120000000.0,110470000000.0,1647176155.0,794470000000.0,,,,,,
ADANIPOWER.NS,2026-03-31,Utilities,-0.035268052951071244,,-0.10491949457847324,-1.1319206310743957,-0.0304599637757466,19.764269549137563,12.906395490477337,23.70043965005274,29.065451867478604,41.4222996829674,0.8395655904626154,5.328565479837904,1.4112447677390187,8832500000.0,,,,,33.514328,6.5987587,24.507,,7.9001074,128343000000.0,205136500000.0,117913700000.0,541521600000.0,19284694705.0,545187700000.0,,,,,,
ADANIPOWER.NS,2025-03-31,Utilities,0.12149090918535807,,0.1923768567604184,-0.29837933966824626,-0.14607692105716547,22.962623269453665,18.22673440538626,23.050686758419733,31.32720442700771,42.117750680451834,0.6984618016653567,5.722994457480774,1.6014382345588678,3059100000.0,,,,,,,,,,129387700000.0,215011100000.0,130220700000.0,561318200000.0,19284694705.0,393562900000.0,,,,,,
