ticker,date,sector,revenue_growth,eps_growth,operating_profit_growth,fcf_growth,ebitda_growth,roe,roce,net_margin,operating_margin,gross_margin,debt_to_equity,interest_coverage,current_ratio,cash_position,dividend_yield,dividend_growth,buyback_yield,promoter_holding_change,pe,pb,ev_ebitda,peg,price_sales,net_profit,operating_cash_flow,receivables,revenue,shares_outstanding,total_debt,auditor,promoter_pledge_pct,insider_net_buy,related_party_txn_flag,fwd_return,bench_fwd_return
20MICRONS.NS,2026-03-31,Basic Materials,0.04496939696217686,,0.03458701075459726,1.4298671431852288,0.07773029878186993,13.81782225632621,19.023155176875058,7.006009230550518,10.75223262446681,44.700768248013325,0.3225763095693737,5.983041157424963,1.920564387415701,735836000.0,0.69,,,,9.693931,1.3410227,5.859,,0.6795879,668256000.0,1035949000.0,1767097000.0,9538326000.0,35286502.0,1560040000.0,,,,,,
20MICRONS.NS,2025-03-31,Basic Materials,0.17629929828124524,,0.07795135339686737,-1.8245976555468615,0.18637821837597943,14.52761038541209,20.01804112989896,6.833623069260983,10.860134454414904,44.71430956593074,0.38388471501323584,5.458353293578032,1.710643719209801,312982000.0,,,,,,,,,,623763000.0,317861000.0,1432276000.0,9127852000.0,35286502.0,1648262000.0,,,,,,
21STCENMGM.NS,2026-03-31,Financial Services,-1.1495184781944283,,-2.2331248585594667,-1.4601188857375966,-2.225066385604429,-72.7452581903984,-72.22180384312993,142.47862589540168,142.0520325395932,136.59578502064832,,,2.9276627195672345,35456000.0,,,,,,0.9958717,-1.227,,-1.9509535,-240474000.0,-23686000.0,61348000.0,-168779000.0,10500000.0,,,,,,,
21STCENMGM.NS,2025-03-31,Financial Services,2.2293803962854675,,-0.33614452483465757,2.880406195207481,-0.40737652477388014,24.18521408100617,37.9691018202625,10.929760979857674,17.224049602371334,18.316963688534102,,,5.396015773032212,4710000.0,,,,,,,,,,123377000.0,51478000.0,78732000.0,1128817000.0,10500000.0,,,,,,,
360ONE.NS,2026-03-31,Financial Services,0.1908010822256205,,0.040714708724246484,-0.226048566914551,0.22477727101116574,12.365043134344292,5.108832902296158,38.7546086363535,42.55942233113351,61.13290399059312,1.6063799177473552,1.2250238479600821,13.022058962397779,5692400000.0,1.64,,,,37.504284,4.5107265,20.879,,9.932332,12161700000.0,-29210600000.0,5035600000.0,31381300000.0,406486596.0,157996300000.0,,,,,,
360ONE.NS,2025-03-31,Financial Services,0.31363527605527086,,0.7417717395730127,-4.3549382059517985,0.3558626938737085,14.371432089923012,12.294103558940462,38.52677673594378,48.69711722719528,63.14247659668123,1.5606486324279412,1.4467768483236003,1.2065271912713553,7401900000.0,,,,,,,,,,10153000000.0,-24621700000.0,4430600000.0,26353100000.0,406486596.0,110255300000.0,,,,,,
3BBLACKBIO.NS,2026-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3IINFOLTD.NS,2026-03-31,Technology,-0.044642857142857144,,1.4663742690058479,-2.421102661596958,0.466794380587484,9.302691641744058,0.7670113007934599,5.114226375908619,0.46007845852082613,8.25400946117457,0.16152473896846634,0.7915632754342432,1.131441101230357,198600000.0,,,,,9.423077,0.9620239,-19.376,,0.5130054,354600000.0,-435800000.0,1080800000.0,6933600000.0,207403767.0,615700000.0,,,,,,
3IINFOLTD.NS,2025-03-31,Technology,-0.10827148965449453,,0.8996036988110965,0.21890547263681592,1.178624386905441,8.260557872784151,-1.9496066583057803,3.4928902116402116,-0.9424603174603174,10.774911816578484,0.20695385818561002,-0.9011857707509882,1.1813226416794307,326300000.0,,,,,,,,,,253500000.0,315600000.0,1023400000.0,7257600000.0,207403767.0,635100000.0,,,,,,
3MINDIA.NS,2026-03-31,Industrials,0.14490862793438847,,0.29230596931347297,0.2823913716876461,0.19086287163489588,29.540480162882112,46.806137246351824,10.262173462009997,18.136808022382194,42.36820596648958,0.09600429827786104,21.221149425287358,2.1822442340540587,8121400000.0,0.51,,,,68.25434,20.261093,35.564,,7.0061417,5223200000.0,5137200000.0,8386000000.0,50897600000.0,11265070.0,1697500000.0,,,,,,
3MINDIA.NS,2025-03-31,Industrials,0.06178497223023735,,-0.00983552474267603,-0.5339444251004105,0.003335172269448661,25.782334105191296,36.229813019736554,10.708887069345595,16.068166890110582,40.403233788319135,0.05390493750625847,63.949865711727846,2.3401485470429333,9327792000.0,,,,,,,,,,4760700000.0,3551100000.0,7902674000.0,44455600000.0,11265070.0,995353000.0,,,,,,
3PLAND.NS,2026-03-31,Unknown,0.0447427293064877,,0.06204379562043796,-0.9572649572649573,0.07194244604316546,2.0829352188037458,,46.680942184154176,62.31263383297645,,,,,2000000.0,,,,,,,,,,21800000.0,600000.0,,46700000.0,,,,,,,,
3PLAND.NS,2025-03-31,Unknown,0.5525145873853848,,0.5778865534120357,8.965928449744464,0.5197900721626941,1.4960148026727844,1.7869370985097988,46.75615212527964,61.297539149888145,81.75167785234899,,,957.4779319041614,1789000.0,,,,,,,,,,20900000.0,11700000.0,,44700000.0,,,,,,,,
5PAISA.NS,2026-03-31,Financial Services,-0.2100686648644049,,-2.0027696765094416,-2.1295103895440852,-0.2059408788483211,6.805892325024236,-2.5467273937316057,24.40946447837479,-25.993285746879174,51.04125061665172,0.5830959474400369,-1.4464073825874715,29.522045736928707,372720000.0,,,,,21.947592,1.4932564,,,5.055617,441855000.0,-1037056000.0,1940000.0,1810179000.0,46879257.0,3785600000.0,,,,,,
5PAISA.NS,2025-03-31,Financial Services,-0.11647440296723549,,0.5410567319802009,1.9805638872225555,0.20175100583668612,11.303570659430589,-2.555981470002936,29.77576459755669,-6.837990630857078,67.69456681350955,0.3601737453656306,-0.6583630939876476,1.4932704865751427,203240000.0,,,,,,,,,,682331000.0,979350000.0,490000.0,2291565000.0,46879257.0,2174160000.0,,,,,,
63MOONS.NS,2026-03-31,Technology,3.5162603107759534,,-0.17505873889718937,-1.3514589992632167,0.874290461027274,-0.6316088740853951,-8.538709460501265,-10.650772112967871,-149.20732963711686,2.655227323009375,0.0015265915283996082,-223.82672174346555,11.276549120429996,666176000.0,0.18,,,,,0.8579558,-4.232,,14.39454,-224337000.0,-2929724000.0,662457000.0,2106298000.0,46078537.0,54222000.0,,,,,,
63MOONS.NS,2025-03-31,Technology,-0.8735532179902277,,-5.650037293516491,-4.266834615213339,-1.0954080663070997,-0.9715037686540313,-7.737093395846113,-71.12296598703635,-573.4684732010953,-157.50834618048336,0.0008341300476107256,-399.9025119617225,10.798767289335267,650018000.0,,,,,,,,,,-331704000.0,-1427828000.0,29658000.0,466381000.0,46078537.0,28480000.0,,,,,,
A2ZINFRA.NS,2025-03-31,Industrials,-0.1344198533802846,,1.3324735749830776,-0.4662621672399523,2.794663133989402,19.866935305318158,24.82856214396614,2.668441047677816,5.316808790620563,60.37589121755745,2.0285723774520656,2.5237429773298325,0.7742299357176576,39899000.0,,,,,100.71429,5.2357965,14.34,,0.65039873,89731000.0,542143000.0,1047971000.0,3362675000.0,177522358.0,916225000.0,,,,,,
A2ZINFRA.NS,2024-03-31,Industrials,0.11173941511256817,,-7.3099936641374725,0.5367664809782855,1.0680679039526322,-17.687658291769605,-67.5421959742064,-1.4651160396202714,-13.842074916084924,55.19851321018925,6.151462887863391,-10.296360120244318,0.722082454409349,14406000.0,,,,,,,,,,-56918000.0,953277000.0,1561926000.0,3884880000.0,177522358.0,1979510000.0,,,,,,
AAATECH.NS,2026-03-31,Technology,-0.19944216377600127,,-0.5731489171404842,0.6267746027910348,-0.40364558137734863,6.662252938896783,4.315656891874435,10.122873995269547,6.557369004740267,49.0524373607608,,,18.861781848459618,38690000.0,1.54,,,,60.37888,4.061586,71.946,,6.11864,20629000.0,26964000.0,60239000.0,203786000.0,12826800.0,,,,,,,
AAATECH.NS,2025-03-31,Technology,0.06980155161255075,,-0.08488745980707396,-0.8187814233141554,0.0021330644379375205,11.387797606496004,10.156009226247441,13.789947162695684,12.298324527115948,64.71685883207951,0.0,,18.1118436271108,9733000.0,,,,,,,,,,35103000.0,16553000.0,42648000.0,254555000.0,12826800.0,0.0,,,,,,
AADHARHFC.NS,2026-03-31,Financial Services,0.183772281502498,,0.20910594752635223,0.06608626699486231,0.21051643192488262,14.532502131711244,4.616587959664804,31.721882100936423,36.390951326473015,44.486127393513094,2.4776120590540374,,156.2084530651341,7146300000.0,,,,,19.103754,2.7249432,,,9.176856,10958800000.0,-28078800000.0,270200000.0,34546500000.0,437298899.0,186834000000.0,,,,,,
AADHARHFC.NS,2025-03-31,Financial Services,0.23961550060954112,,-0.4075745403369628,-0.19267871848162818,-0.4544253023713289,14.309298541026852,5.038592900146929,31.244817259126762,35.62847372136214,43.863292145534786,2.5613837411668334,0.8978308925117435,2.0048801409560904,8783700000.0,,,,,,,,,,9118300000.0,-30266500000.0,252800000.0,29183400000.0,437298899.0,163218800000.0,,,,,,
AAKASH.NS,2026-03-31,Energy,0.14534331273697942,,0.858900095406842,-1.5900236952427242,0.3979475874326045,5.4792097188302336,7.733679604094576,3.112128756891339,4.851058154010315,76.0561088386982,0.34733389692529276,2.8597263720710804,0.8399761611595572,1144000.0,,,,,29.428572,1.5954152,8.532,,0.92732966,34999000.0,144310000.0,247813000.0,1124600000.0,101250000.0,221863000.0,,,,,,
AAKASH.NS,2025-03-31,Energy,0.0645789683959187,,-0.6946034892290185,-1.0843221930429783,-0.3392143237814243,3.049624841308262,4.653717902216427,1.8747536636014865,2.9889325575497843,78.83640615181552,0.393103335050045,1.4878580481622308,0.9082888004685701,4149940.0,,,,,,,,,,18408000.0,82295000.0,216441180.0,981889000.0,101250000.0,237283160.0,,,,,,
AAREYDRUGS.NS,2026-03-31,Healthcare,-0.0035327010636082416,,3.5276234406122233,-1.2205351248495204,0.043882560261816354,2.637625047200166,2.838205403032527,0.8401144263121229,0.9144999989412813,3.760992146425025,0.33214025496067096,0.863469151105602,1.8124370160315308,13986000.0,,,,,56.028774,1.4731864,38.883,,0.46922854,39676000.0,101392000.0,1296547000.0,4722690000.0,28454303.0,499616000.0,,,,,,
AAREYDRUGS.NS,2025-03-31,Healthcare,0.19954396690077444,,-0.6622884656234511,2.7021845146636383,0.11984071747614726,2.9057520733966156,0.6746783095061106,0.8490256112914772,0.20126880156339377,2.5070720484918767,0.251703308408043,0.2045064745733642,1.7802154201470315,14733000.0,,,,,,,,,,40239000.0,103004000.0,1334637000.0,4739433000.0,28454303.0,348560000.0,,,,,,
AARNAV.NS,2026-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AARON.NS,2025-03-31,Industrials,0.23243575194402105,,0.33224669424013364,-0.8851473133822296,0.333796055813287,19.15700086219518,20.713708719410786,10.586337624443921,16.79492053054976,34.8386467076942,0.7403421357806352,10.698298429319372,1.2786299087824797,1309000.0,0.5,,,,36.882717,5.051359,15.243,,2.7206173,82432000.0,86325000.0,52248000.0,778664000.0,20946478.0,318567000.0,,,,,,
